reference,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,58,Right-Accumbens-area,0.0,0.9999839358141607,1.0,1.0,9.693967001182387e-06,6.3703423449634755e-06,0.0,0.9999903060329988,0.0,0.0,70,46,0.999993629657655
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/1mo_Template02_acpc_dc_restore.nii.gz,60,Right-VentralDC,0.0297441998810232,0.9997741320077241,0.9704142011834319,0.9700956937799043,0.00011232396058440038,0.00011357032412973034,0.015096618357487922,0.9998876760394156,0.029585798816568046,0.029904306220095694,836,845,0.9998864296758703
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,2,Left-Cerebral-White-Matter,,1.0,,,0.0,0.0,,1.0,,,0,0,1.0
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,3,Left-Cerebral-Cortex,0.8834843167659621,0.9952549718655173,0.106452056679048,0.12635515024345623,0.002655303002465356,0.002188243212289054,0.7912869743189903,0.9973446969975347,0.893547943320952,0.8736448497565438,148692,145380,0.997811756787711
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,4,Left-Lateral-Ventricle,0.9094540110780361,0.9996672220812759,0.1253170979198377,0.05289593470412812,9.351713937453129e-05,0.00023986271362552714,0.8339437495681017,0.9999064828606254,0.8746829020801623,0.9471040652958719,12742,13797,0.9997601372863745
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,8,Left-Cerebellum-Cortex,0.9678257913575556,0.9997771786636591,0.029826812059012164,0.034510273289447446,0.00012020419983746724,0.00010339124679148437,0.9376574063311248,0.9998797958001625,0.9701731879409878,0.9654897267105526,25065,24944,0.9998966087532085
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,10,Left-Thalamus-Proper*,0.9225419337242602,0.9998426817662628,0.07745806627573981,0.07745806627573981,7.873907685918139e-05,7.873907685918002e-05,0.856220731552968,0.9999212609231408,0.9225419337242602,0.9225419337242602,7333,7333,0.9999212609231408
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,11,Left-Caudate,0.8805762081784386,0.9999288190386083,0.1760869565217391,0.05439121756487031,1.5099604750529594e-05,5.610173557990539e-05,0.7866334578663345,0.9999849003952495,0.8239130434782609,0.9456087824351297,2004,2300,0.9999438982644201
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,12,Left-Putamen,0.8297474275023387,0.9998991833854219,0.11960297766749384,0.21539141972578502,6.746070829310972e-05,3.3385184264767e-05,0.7090327737809752,0.9999325392917069,0.8803970223325062,0.784608580274215,2261,2015,0.9999666148157352
/home/feczk001/shared/data/nnUNet/segmentations/inferred/Task504_AllAgesWithSkull/gt/2mo_Template03_acpc_dc_restore.nii.gz,13,Left-Pallidum,0.6690307328605201,0.9999612243790085,0.4937388193202147,0.013937282229965153,5.539803278815668e-07,3.822320273050295e-05,0.5026642984014209,0.9999994460196722,0.5062611806797853,0.9860627177700348,287,559,0.9999617767972695
