age_months,segment_id,segment_name,Dice,Accuracy,False Discovery Rate,False Negative Rate,False Omission Rate,False Positive Rate,Jaccard,Negative Predictive Value,Precision,Recall,Total Positives Reference,Total Positives Test,True Negative Rate
4,4,Left-Lateral-Ventricle,0.8976610146773004,0.9997885343812353,0.11145017911635935,0.09303900325027081,9.523816125193128e-05,0.00011644593692405891,0.8143239299610895,0.9999047618387481,0.8885498208836407,0.9069609967497292,7384,7537,0.9998835540630759
4,8,Left-Cerebellum-Cortex,0.9662999120365697,0.9996763620490811,0.026979148516001583,0.040328817345974266,0.00019592023931211958,0.00012927701308595996,0.9347971653367557,0.9998040797606879,0.9730208514839984,0.9596711826540257,34913,34434,0.999870722986914
4,10,Left-Thalamus-Proper*,0.9279395900755124,0.9998149848941259,0.018036529680365287,0.12044989775051129,0.00016333271956465314,2.191020366504315e-05,0.8655665123767358,0.9998366672804353,0.9819634703196347,0.8795501022494887,9780,8760,0.999978089796335
4,11,Left-Caudate,0.8913365115896762,0.9999084618375877,0.08350236646382692,0.13248000000000004,5.735602045642647e-05,3.422044645351452e-05,0.8039739027283511,0.9999426439795436,0.9164976335361731,0.86752,3125,2958,0.9999657795535465
4,12,Left-Putamen,0.7752951096121417,0.9998523756715106,0.3344191096634094,0.07168096920747102,1.9672306476802125e-05,0.00012799466301038898,0.6330464716006885,0.9999803276935232,0.6655808903365906,0.928319030792529,1981,2763,0.9998720053369896
4,13,Left-Pallidum,0.738909090909091,0.9999502841145144,0.31165311653116534,0.20251177394034536,1.7866308491039284e-05,3.185421296203472e-05,0.5859284890426759,0.999982133691509,0.6883468834688347,0.7974882260596546,637,738,0.999968145787038
4,14,3rd-Ventricle,0.8358913813459268,0.9999615013477298,0.12267657992565051,0.20180383314543404,2.4791471179914754e-05,1.371163598518077e-05,0.718052738336714,0.99997520852882,0.8773234200743495,0.798196166854566,887,807,0.9999862883640148
4,15,4th-Ventricle,0.9050873196659074,0.9999826894549145,0.09146341463414631,0.09833585476550677,9.002301265197269e-06,8.309822306928893e-06,0.826629680998613,0.9999909976987348,0.9085365853658537,0.9016641452344932,661,656,0.9999916901776931
4,16,Brain-Stem,0.9385868182203749,0.9997994746457293,0.043812651227099875,0.07837747792770278,0.00013052295178834475,7.032850207500108e-05,0.8842803484376248,0.9998694770482116,0.9561873487729001,0.9216225220722972,12006,11572,0.999929671497925
4,17,Left-Hippocampus,0.8753294141496047,0.9999148321181792,0.11769513690232936,0.1315366049879324,4.5299736721254925e-05,3.9897231381536e-05,0.7782984859408796,0.9999547002632787,0.8823048630976706,0.8684633950120676,2486,2447,0.9999601027686185
4,18,Left-Amygdala,0.8541374474053296,0.9999711952529777,0.152990264255911,0.13861386138613863,1.3572818796082663e-05,1.523477128795303e-05,0.7454100367197063,0.9999864271812039,0.847009735744089,0.8613861386138614,707,719,0.999984765228712
4,26,Left-Accumbens-area,0.5748502994011976,0.9999901676103914,0.5514018691588785,0.19999999999999996,1.6618369530219466e-06,8.1706451707797e-06,0.40336134453781514,0.999998338163047,0.4485981308411215,0.8,60,107,0.9999918293548292
4,28,Left-VentralDC,0.824945295404814,0.9999556850045811,0.251984126984127,0.08048780487804874,9.141243851820992e-06,3.517902244420945e-05,0.702048417132216,0.9999908587561481,0.748015873015873,0.9195121951219513,820,1008,0.9999648209775558
